"Ticker","Nome","Negócios","Última (R$)","Variação"
"BRAP4","Bradespar","1.894.100","22,62","-0,53%"
"FLRY3","Fleury","1.870.300","15,07","+0,67%"
"IGTI11","Jereissati Participações","1.769.200","24,18","+0,33%"
"IGTI11","Iguatemi","1.769.200","24,18","+0,33%"
"VVEO3","Viveo","1.763.200","1,22","-3,17%"
"SIMH3","Simpar","1.632.600","7,77","+3,60%"
"AZTE3","AZT Energia","1.579.600","0,16","-5,88%"
"ARML3","Armac","1.522.700","2,88","-4,32%"
"RECV3","PetroRecôncavo","1.521.300","10,11","-0,10%"
"POSI3","Positivo","1.517.100","3,86","-1,03%"
"MLAS3","Multilaser","1.495.300","1,68","+3,07%"
"BRSR6","Banrisul","1.462.600","13,55","-2,31%"
"MILS3","Mills","1.443.300","15,38","+0,52%"
"SAPR11","Sanepar","1.403.400","38,82","+1,81%"
"AXIA7","Axia Energia","1.250.600","52,87","+2,86%"
"LJQQ3","Lojas Quero-Quero","1.237.000","1,38","+0,73%"
"EGIE3","Engie","1.184.200","34,20","-0,06%"
"CPFE3","CPFL Energia","1.130.800","44,12","-0,56%"
"OIBR3","Oi","1.128.200","0,10","-9,09%"
"DXCO3","Dexco","1.082.400","4,83","+0,00%"
"KLBN3","Klabin","1.048.400","3,35","-0,89%"
"AMBP3","Ambipar","1.041.900","0,18","+0,00%"
"SMTO3","São Martinho","1.039.000","14,77","+1,16%"
"EVEN3","Even","1.024.500","5,57","-0,71%"
"PSSA3","Porto Seguro","1.016.100","52,19","-1,16%"
"SAPR4","Sanepar","980.100","7,45","+1,64%"
"RIAA3","Guararapes","967.500","8,78","+1,50%"
"AUAU3","União Pet","923.000","3,21","+0,31%"
"USIM3","Usiminas","920.500","7,88","-5,17%"
"PTBL3","Portobello","899.000","1,56","-2,50%"
"PINE4","Banco Pine","876.300","13,09","+0,54%"
"MYPK3","Iochpe-Maxion","855.000","9,10","-1,94%"
"IRBR3","IRB Brasil RE","833.000","54,25","+2,34%"
"RANI3","Irani","813.500","7,63","-0,65%"
"ALUP11","Alupar","778.700","32,26","+1,48%"
"BMGB4","Banco BMG","777.100","5,36","+2,29%"
"ALPA4","Alpargatas","753.600","13,20","+0,46%"
"AMER3","Americanas","753.600","4,29","-3,16%"
"SOJA3","Boa Safra Sementes","742.400","5,97","+2,93%"
"VULC3","Vulcabras","735.900","14,52","+0,83%"
"JALL3","Jalles Machado","710.500","2,21","+0,45%"
"ABCB4","Banco ABC Brasil","679.600","24,00","-0,46%"
"FIQE3","Unifique","665.600","5,82","+1,39%"
"POMO3","Marcopolo","638.400","5,55","-1,77%"
"ORVR3","Orizon","635.600","75,55","-0,33%"
"MDIA3","M. Dias Branco","626.600","17,38","+0,00%"
"OPCT3","OceanPact","610.400","10,26","+1,99%"
"AZEV3","Azevedo & Travassos","608.200","0,14","-6,67%"
"MDNE3","Moura Dubeux","604.700","27,50","+0,55%"
"FESA4","Ferbasa","604.600","6,05","-0,33%"
"KEPL3","Kepler Weber","602.800","6,60","-0,15%"
"WIZC3","Wiz Soluções","579.600","7,74","+2,25%"
"SYNE3","SYN","519.500","4,11","-2,14%"
"TUPY3","Tupy","471.000","14,42","-0,21%"
"CAML3","Camil Alimentos","467.900","4,95","+1,23%"
"MTRE3","Mitre Realty","464.100","3,31","+0,30%"
"JSLG3","JSL","459.800","5,45","+1,30%"
"VTRU3","VITRUBREPCOM","455.200","13,37","+0,15%"
"CASH3","Méliuz","440.200","4,16","+0,73%"
"SEER3","Ser Educacional","375.800","10,99","-1,96%"
"DASA3","Dasa","369.000","2,76","+1,47%"
"ROMI3","Indústrias ROMI","358.700","6,00","-1,80%"
"PNVL3","Dimed","339.000","10,98","+0,18%"
"LOGG3","LOG CP","312.900","27,22","-0,80%"
"SHUL4","Schulz","310.000","4,81","+0,84%"
"PRNR3","Priner","288.000","17,63","+0,69%"
"ALLD3","Allied","283.300","4,86","+0,41%"
"MATD3","Mater Dei","281.300","4,71","-1,46%"
"FRAS3","Fras-le","280.900","20,30","-0,05%"
"TFCO4","Track & Field","280.400","15,05","+1,96%"
"HBOR3","Helbor","274.000","2,23","-0,89%"
